,Lemma,definition
194,больше,"<i>Adjective</i><br>1. big, large, great<br>2. important<br>3. grown-up<br>4. big, outstanding"
195,вместе,"<i>Adverb</i><br>1. together, coupled with, along with"
196,маленький,"<i>Adjective</i><br>1. little, small<br>2. short<br>3. trifling, petty"
197,книга,<i>Noun</i><br>1. book
198,некоторый,"<i>Pronoun</i><br>1. some; certain<br>2. some, some people; certain people"
199,решить,"<i>Verb</i><br>1. to solve, to settle<br>2. to decide, to resolve, to make up one's mind, to determine"
200,любой,"<i>Determiner</i><br>1. any, either, whichever one wants"
201,возможность,"<i>Noun</i><br>1. opportunity, chance, potential (chance for advancement, progress or profit)<br>2. possibility"
202,результат,"<i>Noun</i><br>1. effect, result, return, outcome"
203,ночь,<i>Noun</i><br>1. night
204,стол,"<i>Noun</i><br>1. table<br>2. board, fare, cuisine<br>3. department, section, office, bureau<br>4. throne"
205,никогда,"<i>Adverb</i><br>1. never, nevermore (entails the meaning ""always"" or ""for now on"")"
206,имя,"<i>Noun</i><br>1. name, first name, Christian name, given name (for inanimate things, see назва́ние (nazvánije))<br>2. noun (broad sense)"
207,область,"<i>Noun</i><br>1. region, oblast, province<br>2. domain, sphere, field (area of knowledge)"
208,молодой,<i>Adjective</i><br>1. feminine nominative singular of молодо́й (molodój)<br><i>Noun</i><br>1. feminine nominative singular of молодо́й (molodój)
209,пройти,"<i>Verb</i><br>1. to pass, to go, to walk<br>2. to pass by<br>3. (time) to pass, to go by, to elapse, to slip by<br>4. to be over<br>5. (meeting, gathering) to go off, to be held<br>6. to study, to cover (in a course)"
210,например,"<i>Adverb</i><br>1. for example, e.g.<br>2. for instance"
211,статья,"<i>Noun</i><br>1. article<br>2. item, entry<br>3. matter, business"
212,оно,"<i>Pronoun</i><br>1. it<br>2. The alternative forms starting with ""н-"" (n-) are used after a preposition.<br>3. Letter ""г"" (g) in the genitive/accusative case ending is pronounced as /v/<br>4. The prepositional case is never used without a preposition<br>5. Instrumental forms ending in ""-ю"" (ju) are either dated, poetic, or dialectal.<br>6. Archaic feminine form: оне́ (oné)<br>7. The alternative forms starting with ""н-"" (n-) are used after a preposition.<br>8. Letter ""г"" (g) in the genitive/accusative case ending is pronounced as /v/<br>9. The prepositional case is never used without a preposition<br>10. Instrumental forms ending in ""-ю"" (ju) are either dated, poetic, or dialectal."
213,число,<i>Noun</i><br>1. cardinal number<br>2. date<br>3. day<br>4. number
214,компания,<i>Noun</i><br>1. company
215,про,"<i>Preposition</i><br>1. about, concerning<br>2. (in the expression про себя) to (oneself)"
216,государственный,<i>Adjective</i><br>1. state<br>2. national<br>3. public
217,полный,"<i>Adjective</i><br>1. full, complete<br>2. absolute, perfect<br>3. exhaustive<br>4. stout, chubby"
218,принять,"<i>Verb</i><br>1. to take<br>2. to admit, to accept<br>3. to receive<br>4. to assume"
219,народ,<i>Noun</i><br>1. people<br>2. nation
220,никакой,"<i>Pronoun</i><br>1. (indefinite pronoun) not any of possible variants, no, none; (in a negative context) whatever, whatsoever, absolutely<br>2. (about person's state) out of it, senseless, e.g. very drunken or exhausted"
221,советский,<i>Adjective</i><br>1. Soviet
222,жена,<i>Noun</i><br>1. wife<br>2. woman
223,настоящий,"<i>Adjective</i><br>1. present<br>2. true, real, genuine"
224,всякий,"<i>Determiner</i><br>1. any, every<br>2. all sorts of<br>3. all kinds of<br><i>Pronoun</i><br>1. any, every<br>2. all sorts of<br>3. all kinds of"
225,группа,<i>Noun</i><br>1. group
226,развитие,"<i>Noun</i><br>1. development, growth, progress"
227,процесс,"<i>Noun</i><br>1. process<br>2. trial, legal proceedings, lawsuit"
228,суд,<i>Noun</i><br>1. court<br>2. judgment<br>3. tribunal<br>4. trial<br>5. justice
229,давать,"<i>Verb</i><br>1. to give<br>2. to let, to allow<br>3. to hit, to strike, to clip<br>4. to put out, to consent to sex"
230,ответить,"<i>Verb</i><br>1. to answer, to reply<br>2. to be responsible for, to be accountable for, to be liable for<br>3. to account for, to answer for<br>4. to be held to account for, to be called to account for"
231,старый,"<i>Adjective</i><br>1. old<br>2. ancient, antique<br>3. olden"
232,условие,"<i>Noun</i><br>1. condition<br>2. term, stipulation, proviso<br>3. agreement, contract"
233,твой,"<i>Pronoun</i><br>1. your, yours, thy, thine (2nd-person familiar, singular only)"
234,средство,"<i>Noun</i><br>1. mean, facility<br>2. tool, instrument<br>3. remedy<br>4. (pl.) means (money)"
235,помнить,"<i>Verb</i><br>1. to remember, to recollect, to think of, to keep in mind<br><i>Verb</i><br>1. to remember, to recollect, to think of, to keep in mind"
236,начало,"<i>Verb</i><br>1. to begin, to start, to commence"
237,ждать,"<i>Verb</i><br>1. to wait, to wait for (+ genitive case)<br>2. to expect, to await"
238,свет,"<i>Noun</i><br>1. light<br>2. day<br>3. radiance<br>4.  lights, lighting<br>5. power, electricity<br><i>Noun</i><br>1. light<br>2. day<br>3. radiance<br>4.  lights, lighting<br>5. power, electricity"
239,путь,"<i>Noun</i><br>1. way, path, road<br>2. track, line<br>3. means<br>4. trip, journey<br>5. route"
240,душа,<i>Noun</i><br>1. shower (device for bathing)<br>2. shower (instance of using the shower)<br><i>Noun</i><br>1. shower (device for bathing)<br>2. shower (instance of using the shower)
241,куда,<i>Adverb</i><br>1. (to) where?<br>2. why?
242,нужно,"<i>Adjective</i><br>1. necessary, needed"
243,разный,"<i>Adjective</i><br>1. different, diverse, unlike<br>2. various, varied, miscellaneous"
244,нужный,"<i>Adjective</i><br>1. necessary, needed"
245,уровень,"<i>Noun</i><br>1. level, standard, amount<br>2. level, gauge<br>3. level, rate, degree<br>4. level, level gauge, spirit level, bubble level<br>5. a level<br>6. dignity"
246,иной,"<i>Determiner</i><br>1. other, another, different<br>2. some, many a"
247,форма,"<i>Noun</i><br>1. form, shape<br>2. form (document to be filled)<br>3. form, structure, frame<br>4. model<br>5. mold<br>6. uniform (military, sports)"
248,связь,"<i>Noun</i><br>1. tie, relation, bond, contact<br>2. link, connection, liaison<br>3. signal<br>4. communication"
249,минута,"<i>Noun</i><br>1. minute<br>2. moment, instant"
250,находиться,"<i>Verb</i><br>1. to find<br>2. to think, to consider<br>3. to come across<br>4. to happen to have"
251,опять,<i>Adverb</i><br>1. again
252,многий,<i>Adjective</i><br>1. much<br>2. many
253,белый,"<i>Adjective</i><br>1. white<br>2. light, fair<br>3. secular<br>4. white, Caucasian<br><i>Noun</i><br>1. white<br>2. light, fair<br>3. secular<br>4. white, Caucasian"
254,собственный,"<i>Adjective</i><br>1. one's own, peculiar, proper<br>2. eigen-"
255,улица,<i>Noun</i><br>1. street
256,черный,"<i>Adjective</i><br>1. black<br>2. rough, coarse<br>3. back (stairs, entrance, etc.)<br>4. unskilled, manual<br>5. ferrous<br>6. dark, swarthy; dark-haired, black-haired<br>7. lacking a chimney to exhaust the smoke<br><i>Noun</i><br>1. black<br>2. rough, coarse<br>3. back (stairs, entrance, etc.)<br>4. unskilled, manual<br>5. ferrous<br>6. dark, swarthy; dark-haired, black-haired<br>7. lacking a chimney to exhaust the smoke"
257,написать,<i>Verb</i><br>1. to write
258,вечер,"<i>Noun</i><br>1. evening (after 8 PM)<br>2. tonight, this evening<br>3. party, social gathering, soiree"
259,снова,"<i>Adverb</i><br>1. again, anew"
260,основной,"<i>Adjective</i><br>1. basic, fundamental, main, primary, principal, cardinal<br>2. basic"
261,качество,<i>Noun</i><br>1. quality
262,мысль,<i>Noun</i><br>1. thought<br>2. idea
263,дорога,<i>Adjective</i><br>1. dear<br>2. expensive<br><i>Noun</i><br>1. dear<br>2. expensive
264,мать,<i>Noun</i><br>1. mother
265,действие,"<i>Noun</i><br>1. action, activity<br>2. effect, efficacy<br>3. influence, impact<br>4. operation<br>5. act"
266,месяц,"<i>Noun</i><br>1. month<br>2.  moon (the Earth's only permanent natural satellite, including a full moon)<br>3. moon<br>4. used in the expression"
267,оставаться,"<i>Verb</i><br>1. to remain, to stay<br>2. to be left"
268,государство,<i>Noun</i><br>1. State
269,язык,"<i>Noun</i><br>1. tongue<br>2. language<br>3. prisoner for interrogation, canary, informer<br>4. clapper (of a bell)"
270,любовь,<i>Noun</i><br>1. love<br>2. affection
271,взгляд,"<i>Noun</i><br>1. glance, look<br>2. view, opinion"
272,мама,"<i>Noun</i><br>1. mama, mummy, mommy, mum, mom (mother)<br>2. motherboard<br>3. female socket"
273,играть,"<i>Verb</i><br>1. to play<br>2. to act, to perform<br>3. to gamble<br>4. to rage<br>5. to sparkle"
274,далекий,"<i>Adjective</i><br>1. far, distant, remote<br>2. long way off, wide (of)<br>3. strange (to)<br>4. smart, clever"
275,лежать,"<i>Verb</i><br>1. to lie (to be in a horizontal position)<br>2. to be situated<br>3. to rest, to be incumbent"
276,нельзя,
277,школа,<i>Noun</i><br>1. school<br>2. schoolhouse<br>3. academy<br>4. university
278,уйти,"<i>Verb</i><br>1. to leave, to depart, to go (away) (by foot)<br>2. to escape, to evade<br>3. to resign, to retire<br>4. to be lost<br>5. to fail<br>6. to sink, to plunge<br>7. to be spent<br>8. to die"
279,подумать,"<i>Verb</i><br>1. to think, to consider<br>2. to reflect, to ponder"
280,цель,<i>Verb</i><br>1. to aim (at)<br>2. to aim (for; to become)<br><i>Verb</i><br>1. to aim (at)<br>2. to aim (for; to become)
281,среди,"<i>Preposition</i><br>1. among, in the midst of (+ genitive case)"
282,общество,<i>Noun</i><br>1. society<br>2. company<br>3. association<br>4. community
283,посмотреть,<i>Verb</i><br>1. to look
284,деятельность,<i>Noun</i><br>1. activity<br>2. work
285,организация,"<i>Noun</i><br>1. organization, arrangement<br>2. organization<br>3. setup, structure"
286,кто-то,"<i>Pronoun</i><br>1. somebody, someone"
287,вернуться,"<i>Verb</i><br>1. to return, to give back"
288,президент,"<i>Noun</i><br>1. president (the head of state of a republic, the primary leader of a corporation, male or female)<br>2. A female president is referred to as президе́нт (prezidént), or же́нщина-президе́нт (žénščina-prezidént), or, colloquially only, президе́нтша (prezidéntša), which is dispreferred."
289,комната,<i>Noun</i><br>1. room
290,порядок,"<i>Noun</i><br>1. (proper) order<br>2. order, sequence<br>3. order, procedure, manner, way, form<br>4. order, regime, system<br>5. (plural) customs, usages, observances<br>6. order, array<br>7. order"
291,момент,"<i>Noun</i><br>1. moment<br>2. feature, aspect<br>3. moment"
292,театр,<i>Noun</i><br>1. theater/theatre
293,следовать,"<i>Verb</i><br>1. to follow, to go after<br>2. to follow, to be next<br>3. to follow, to take after<br>4. to follow, to do accordingly<br>5. to be bound to (a port)<br>6. to follow, to be a consequence<br>7. to should, to ought to (the agent who/which should/ought to do something is in the dative case)"
294,читать,"<i>Verb</i><br>1. to read<br>2. to recite<br>3. to lecture, to give a lecture, to deliver a lecture<br>4. to teach<br>5. to tell, to say (for the purpose of a lesson)<br>6. to pronounce, to deliver<br>7. to understand, to interpret, to decipher"
295,письмо,"<i>Noun</i><br>1. letter (written communication)<br>2. writing (action)<br>3. writing system, script"
296,подобный,"<i>Adjective</i><br>1. similar<br>2. like, such as"
297,следующий,"<i>Verb</i><br>1. to follow, to go after<br>2. to follow, to be next<br>3. to follow, to take after<br>4. to follow, to do accordingly<br>5. to be bound to (a port)<br>6. to follow, to be a consequence<br>7. to should, to ought to (the agent who/which should/ought to do something is in the dative case)"
298,утро,<i>Noun</i><br>1. morning
299,особенно,<i>Adjective</i><br>1. special (unique)
300,помощь,"<i>Noun</i><br>1. help, assistance, aid<br>2. relief"
301,ситуация,<i>Noun</i><br>1. situation
302,роль,"<i>Noun</i><br>1. role, part<br><i>Noun</i><br>1. role, part"
303,бывать,"<i>Verb</i><br>1. to be<br>2. to occur, to happen (rarely, sometimes, regularly, or often)<br>3. to be at, to visit, to stay with"
304,ходить,"<i>Verb</i><br>1. to go, to walk<br>2. to wear something<br>3. to go (to), to attend, to visit<br>4. to run (of trains, ships, etc.)<br>5. to work, to run (of clocks)<br>6. to lead, to play, to move (in games)<br>7. to tend, to take care (of), to nurse<br>8. to be good (about money)"
305,рубль,"<i>Noun</i><br>1. ruble, rouble (a monetary unit of Russia equal to 100 kopecks)"
306,начинать,"<i>Verb</i><br>1. to begin, to start"
307,смысл,"<i>Noun</i><br>1. sense, meaning<br>2. respect<br>3. use"
308,появиться,"<i>Verb</i><br>1. to appear, to show up, to emerge"
309,состояние,"<i>Noun</i><br>1. state, status, condition<br>2. fortune, capital, bankroll"
310,называть,"<i>Verb</i><br>1. to call, to name"
311,рядом,"<i>Noun</i><br>1. row, line, tier<br>2. ranks (the body or membership of an organization; the soldiers of an army)<br>3. series<br>4. a number of, several<br>5. degree of backness or frontness<br>6.  contract, agreement, treaty"
312,квартира,"<i>Noun</i><br>1. apartment, flat<br>2. quarters"
313,назад,"<i>Adverb</i><br>1. back, backward, backwards<br><i>Interjection</i><br>1. back, backward, backwards<br><i>Preposition</i><br>1. back, backward, backwards"
